id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344795427967803396,1344795427158298624,2021-01-01 00:59:49 Maroc (heure d’été),2021-01-01,00:59:49,+0100,1128830479115935744,aratinspatz,A rat in spatz,,president knows more than them. And on a personal note I see it as a slap in the face. Refusing to wear a mask and actively spreading this virus is delaying the restart of the industry I work and have a degree in. So every time I see one of these morons I have to fight the urge,en,[],[],[],1,0,2,[],[],https://twitter.com/aratinspatz/status/1344795427967803396,False,,0,,York Factory,,,,,,[],,,,
1344795427061821441,1344795427061821441,2021-01-01 00:59:49 Maroc (heure d’été),2021-01-01,00:59:49,+0100,131193253,stevedoyel,Steve Doyel,,"Everyone’s NY Resolution should be to help each other and be kind to one another. Wear your mask, do your part. I know I’m ready to get back to a normal life with a 4yo and 10 month old. It would be nice to have a family dinner inside of a restaurant for once! Don’t be selfish.",en,[],[],[],0,0,1,[],[],https://twitter.com/stevedoyel/status/1344795427061821441,False,,0,,York Factory,,,,,,[],,,,
1344795425128259584,1344424275927838720,2021-01-01 00:59:49 Maroc (heure d’été),2021-01-01,00:59:49,+0100,395142271,muddyhippo22,Muddy Hippo 🦛,,"@BOOB_level @Outkick Right, right, this is where you need to cite a part of the constitution or some kind of case or statute that shows ""right to not wear a mask"" actually exists.  But you can't. Because you're lying. Inconvenience =/= violation of freedom.",en,[],[],[],0,0,0,[],[],https://twitter.com/muddyhippo22/status/1344795425128259584,False,,0,,York Factory,,,,,,"[{'screen_name': 'BOOB_level', 'name': 'Titan', 'id': '524834510'}, {'screen_name': 'Outkick', 'name': 'OutKick', 'id': '334920737'}]",,,,
1344795423341469696,1344750388537294850,2021-01-01 00:59:48 Maroc (heure d’été),2021-01-01,00:59:48,+0100,21354241,kali8989,Frances Del Rio,,"@parlertakes these idiots seriously don’t get  that the reason repugs get more Covid is that THEY are the ones refusing to wear masks, they have no qualms about attending large gatherings with no social distancing and all the rest.. DUH............",en,[],[],[],0,0,0,[],[],https://twitter.com/kali8989/status/1344795423341469696,False,,0,,York Factory,,,,,,"[{'screen_name': 'parlertakes', 'name': 'ParlerTakes', 'id': '1483986734350311426'}]",,,,
1344795418719227904,1344794007193464833,2021-01-01 00:59:47 Maroc (heure d’été),2021-01-01,00:59:47,+0100,490989354,firefoxtessa,Tessa “FireFox” VB,,@AlexBerenson Okay if I get a round trip ticket to Maui first class and I don’t have to wear a mask or distance anymore and you get me an all inclusive resort then maayyyyyyyyyyybe. Or I could just hop a plane to Puerto Vallarta and get the same experience except cheaper and no vaccine,en,[],[],[],0,0,6,[],[],https://twitter.com/FirefoxTessa/status/1344795418719227904,False,,0,,York Factory,,,,,,"[{'screen_name': 'AlexBerenson', 'name': 'Alex Berenson', 'id': '87679233'}]",,,,
1344795415661592577,1344795415661592577,2021-01-01 00:59:46 Maroc (heure d’été),2021-01-01,00:59:46,+0100,1187272085795524608,tslawrence4,TS Lawrence,,I woke up this morning. It’s cloudy. I have to wear a face mask so Covid won’t kill me. Trump is president. Duterte is president. Just like yesterday. And the day before. And the day before that. Well wishes and whiz bangs didn’t alter that at the stroke of 12. Happy New Year.,en,[],[],[],0,0,0,[],[],https://twitter.com/TSLawrence4/status/1344795415661592577,False,,0,,York Factory,,,,,,[],,,,
1344795404462739457,1344795404462739457,2021-01-01 00:59:44 Maroc (heure d’été),2021-01-01,00:59:44,+0100,22731488,nicryen,NICRYeN,,I just want to spray her in the face with Clorox. Just get your packages delivered to your house if you don’t want to comply with wearing a mask. Dumb bitch!,en,[],[],[],0,0,0,[],[],https://twitter.com/nicryen/status/1344795404462739457,False,https://twitter.com/davenewworld_2/status/1344381430034550786,0,,York Factory,,,,,,[],,,,
1344795403611299840,1344767896031956992,2021-01-01 00:59:43 Maroc (heure d’été),2021-01-01,00:59:43,+0100,802168670596186112,ausshot3dave,Tweet Whisperer David J Smith,,"@sunriseon7 @JohnBarilaroMP Haha 😂 we here in WA the actual Gold Standard. Have a booming economy! No masks, no Covid virus 🦠 our premier is overwhelmingly popular &amp; the East is blind. Lockdown works. Lockdown works. Lockdown works. We are running a surplus because we have a good state government",en,[],[],[],2,0,8,[],[],https://twitter.com/Ausshot3Dave/status/1344795403611299840,False,,0,,York Factory,,,,,,"[{'screen_name': 'sunriseon7', 'name': 'Sunrise', 'id': '18753424'}, {'screen_name': 'JohnBarilaroMP', 'name': 'John Barilaro MP', 'id': '137263102'}]",,,,
1344795400268623878,1344795400268623878,2021-01-01 00:59:43 Maroc (heure d’été),2021-01-01,00:59:43,+0100,1551240769,paigeteach,Paige Anderson,,@ABC New word for 2021 “SPREADER” Meaning: anybody who doesn’t wear a mask over nose and mouth!,en,[],[],[],0,0,0,[],[],https://twitter.com/Paigeteach/status/1344795400268623878,False,,0,,York Factory,,,,,,[],,,,
1344795389770280961,1344795389770280961,2021-01-01 00:59:40 Maroc (heure d’été),2021-01-01,00:59:40,+0100,2967499403,evraaikay40,I K E N N A,,"The Coronavirus didn't end at the chime of 12:00 am. -Avoid unnecessary gatherings and meetings. -Avoid unnecessary travels. -Wear a face mask -Wash your hands -Use your alcohol-based sanitizer. -Follow all NCDC guidelines and protocols. -You made it into 2021, stay alive!",en,[],[],[],0,9,7,[],[],https://twitter.com/evraaikay40/status/1344795389770280961,False,,0,,York Factory,,,,,,[],,,,
