,tweet
1162,"['april', 'met', 'dream', 'girl', 'spending', 'month', 'yelling', 'everyone', 'wear', 'mask', 'properly', 'shouldnt', 'see', 'family', 'one', 'look', 'made', 'say', 'hell', 'noise', 'havent', 'regretted', 'second', 'since']"
1163,"['compromised', 'immune', 'system', 'amp', 'wear', 'protect', 'othersthe', 'reason', 'wear', 'mask']"
1164,"['well', 'done', 'wear', 'mask']"
1165,"['shot', 'lol', 'every', 'medical', 'professional', 'social', 'medium', 'world', 'shoving', 'hey', 'wear', 'mask', 'wouldnt', 'okay', 'taking', 'said', 'vaccine', 'like', 'enough', 'knowledge', 'promote', 'mask', 'wearing', 'enough', 'take', 'shot']"
1166,"['great', 'mmre', 'wa', 'wearing', 'mask', 'today', 'cancersurvivor', 'wearyourmask', 'doglover', 'doglove']"
1167,"['le', 'day', 'nigeria', 'ha', 'created', 'broken', 'record', 'highest', 'number', 'corona', 'case', 'day', 'people', 'refused', 'wear', 'nose', 'mask', 'blame']"
1168,"['please', 'join', 'army', 'navy', 'air', 'force', 'veteran', 'canada', 'unit', 'brantford', 'friday', 'december', 'th', 'turkey', 'supper', 'take', 'available', 'pm', 'pm', 'covid', '19', 'protocol', 'effect', 'please', 'wear', 'mask', 'local', 'vet']"
1169,"['im', 'still', 'wearing', 'mask', 'really', 'worked', 'like', 'wouldnt', 'see', 'case', 'rising', 'qc', 'mandatory', 'everyone', 'wear', 'guess', 'case', 'keep', 'rising', 'doesnt', 'make', 'sense']"
1170,"['sure', 'bro', 'denying', 'problem', 'different', 'opinion', 'sure', 'hong', 'kong', 'respecting', 'others', 'wear', 'mask', 'law', 'sound', 'oppressive', 'collective', 'public', 'approach', 'wearing', 'ha', 'helped', 'keep', 'case']"
1171,"['british', 'survive', 'anything', 'except', 'shortage', 'kfc', 'loo', 'roll', 'told', 'wear', 'mask', 'quiet', 'christmas', 'year']"
1172,"['telling', 'showed', 'momentous', 'occasion', 'wearing', 'darthvader', 'mask', 'cape', 'smh', 'congratulation', 'happy', 'also', 'jealous', 'cant', 'wait', 'post', 'vaccination', 'picture', 'amp', 'better', 'believe', 'disturbance', 'force']"
1173,"['wear', 'mask', 'empathy', 'conscience', 'trust', 'science', 'also', 'love', 'fellow', 'friend', 'family', 'love', 'human', 'life', 'earth', 'need', 'help', 'one', 'another', 'reason', 'wear', 'mask']"
1174,"['great', 'product', 'wearing', 'mask', 'toronto', 'j']"
1175,"['one', 'person', 'wearing', 'mask', 'sad']"
1176,"['wear', 'mask', 'im', 'prepared', 'reason', 'someone', 'else', 'dy']"
1177,"['dont', 'see', 'different', 'global', 'warming', 'banned', 'cfc', 'protect', 'ozone', 'layer', 'sometimes', 'thing', 'going', 'beyond', 'opinion', 'logic', 'logical', 'wear', 'mask', 'prevent', 'spread', 'like', 'wa', 'remove', 'cfc', 'use']"
1178,"['exactly', 'weve', 'exposed', 'need', 'stay', 'one', 'else', 'walk', 'im', 'allowed', 'leave', 'apartment', 'cannot', 'done', 'wear', 'mask', 'glove', 'stairwell', 'made', 'realize', 'rule', 'complicated']"
1179,"['people', 'dont', 'cover', 'nose', 'wearing', 'mask', 'people', 'ate', 'glue', 'kindergarten']"
1180,"['meant', 'flying', 'russia', 'spend', 'gf', 'currently', 'people', 'say', 'anything', 'followed', 'rule', 'worked', 'endless', 'overtime', 'supermarket', 'year', 'keep', 'wear', 'mask', 'wash', 'hand', 'look', 'others', 'feel', 'empty']"
1181,"['safe', 'wear', 'mask', 'fun', 'ozcanvas', 'santa', 'maskup', 'vsb', 'flyeaglesfly', 'wearamask', 'shelton', 'connecticut']"
1182,"['latesister', 'st', 'peter', 'hospital', 'month', 'recuperating', 'injury', 'outbreak', 'declared', 'noticed', 'nurse', 'wearing', 'extra', 'ppe', 'advised', 'shield', 'amp', 'masksnever', 'advised', 'patient', 'found', 'news', 'fordhesitating', 'week', 'case', 'explode']"
1183,"['hows', 'isolation', 'going', 'soft', 'partial', 'lockdown', 'two', 'day', 'late', 'mandatory', 'mask', 'wearing']"
1184,"['really', 'shouldnt', 'hard', 'skip', 'party', 'wear', 'mask', 'save', 'people', 'life', 'covid', '_19', 'stayhome', 'staysafe']"
1185,"['let', 'ask', 'wear', 'mask', 'curious']"
1186,"['thing', 'certain', 'clemson', 'v', 'nd', 'game', 'tonight', 'neither', 'head', 'coach', 'wearing', 'mask', 'correctly']"
1187,"['ill', 'glad', 'pandemic', 'past', 'keyboard', 'forget', 'predicted', 'text', 'im', 'sorry', 'loss', 'wear', 'mask', 'stay', 'home', 'unless', 'essential', 'stop', 'spreading', 'shit', 'people']"
1188,"['well', 'put', 'wear', 'gawd', 'damn', 'mask']"
1189,"['rule', 'anymore', 'except', 'keep', 'distance', 'wash', 'hand', 'wear', 'mask']"
1190,"['saw', 'someone', 'wearing', 'mask', 'hope', 'theyre', 'going', 'home', 'thought', 'video', 'wa', 'precovid', 'apparently', 'isnt']"
1191,"['dont', 'know', 'say', 'folk', 'dont', 'even', 'know', 'want', 'believe', 'covid', 'wear', 'mask', 'keep', 'attending', 'super', 'spreader', 'rally', 'still', 'saying', 'fake', 'even', 'chosen', 'one', 'claimed']"
1192,"['never', 'find', 'getting', 'angry', 'see', 'one', 'mask', 'selling', 'commercial', 'portraying', 'happy', 'mask', 'wearing', 'people', 'like', 'forever']"
1193,"['whats', 'better', 'getting', 'vaccinated', 'getting', 'vaccinated', 'friend', 'hope', 'take', 'friend', 'family', 'member', 'get', 'vaccine', 'let', 'continue', 'wear', 'mask', 'wash', 'hand', 'social', 'distance', 'spread', 'hope', 'covidvaccine']"
1194,"['guy', 'wa', 'wearing', 'mask', 'wa', 'allowed', 'campus', 'amp', 'refused', 'leave', 'campus', 'police', 'chokehold', 'deserves', 'punished', 'ha', 'nothing', 'black']"
1195,"['literally', 'unfollow', 'total', 'cunt', 'uk', 'today', 'dude', 'saying', 'ha', 'doctor', 'note', 'doesnt', 'wear', 'mask']"
1196,"['stay', 'home', 'retard', 'wear', 'mask', 'also', 'go', 'nose', 'moron']"
1197,"['question', 'hong', 'kongers', 'wit', 'end', 'saw', 'near', 'punch', 'two', 'woman', 'one', 'wearing', 'mask', 'properly', 'line', 'wellcome']"
1198,"['thinking', 'screwed', 'way', 'handled', 'covid', 'watch', 'lady', 'kid', 'walk', 'inside', 'mcdonalds', 'mask']"
1199,"['yep', 'wonderful', 'job', 'ruby', 'princess', 'spreading', 'covid', 'far', 'wide', 'best', 'put', 'mask', 'stay', 'safe', 'yeah']"
1200,"['still', 'wear', 'mask', 'vaccine']"
1201,"['still', 'wear', 'mask', 'vaccine']"
1202,"['still', 'wear', 'mask', 'vaccine']"
1203,"['gold', 'standard', 'could', 'go', 'wrong', 'people', 'dont', 'know', 'know', 'least', 'wear', 'mask', 'go', 'public', 'frankly', 'cant', 'helped', 'bit', 'like', 'someone', 'taking', 'smoking']"
1204,"['currently', 'wearing', 'two', 'mask']"
1205,"['staff', 'wear', 'mask', 'inmate', 'cant', 'inmate', 'covid', 'thats', 'wrong']"
1206,"['present', 'danger', 'covidiots', 'wearing', 'mask']"
1207,"['mask', 'world', 'without', 'covid']"
1208,"['shame', 'loudly', 'telling', 'person', 'im', 'pretend', 'im', 'phone', 'say', 'omg', 'yuck', 'many', 'dirty', 'people', 'mask', 'right', 'heard', 'wa', 'covid', 'case', 'insert', 'store', 'im', 'currently', 'week', 'ago']"
1209,"['gas', 'station', 'clerk', 'aint', 'wearing', 'mask', 'im', 'smoking', 'cigarette', 'gas', 'pump', 'yall', 'dont', 'give', 'fuck', 'neither']"
1210,"['five', 'minute', 'clip', 'going', 'yt', 'many', 'arent', 'wearing', 'mask', 'many', 'child', 'hell', 'doublethink', 'going', 'head', 'wearing', 'mask', 'dont', 'want', 'know', 'could', 'save', 'life', 'anyway', 'national', 'right', 'infect']"
1211,"['many', 'arent', 'wearing', 'mask', 'remain', 'close', 'proximity', 'arrest', 'fine']"
1212,"['five', 'minute', 'clip', 'going', 'yt', 'many', 'arent', 'wearing', 'mask', 'many', 'child', 'hell', 'doublethink', 'going', 'head', 'wearing', 'mask', 'dont', 'want', 'know', 'could', 'save', 'life', 'anyway', 'national', 'right', 'infect']"
1213,"['think', 'terrible', 'assumed', 'people', 'like', 'deal', 'le', 'stress', 'often', 'deal', 'amp', 'unpaid', 'caregiver', 'dad', 'hate', 'wearing', 'mask', 'amp', 'cant', 'put', 'one', 'amp', 'put', 'already', 'got', 'tb', 'hospital', 'stay', 'month', 'stop', 'making', 'excuse']"
1214,"['im', 'teacher', 'wear', 'medical', 'mask', 'goggles', 'day', 'class', 'yard', 'duty', 'mask', 'mandatory', 'public', 'building', 'yes', 'say', 'wear', 'mask']"
1215,"['many', 'arent', 'wearing', 'mask', 'remain', 'close', 'proximity', 'arrest', 'fine']"
1216,"['let', 'go', 'practice', 'know', 'wear', 'mask', 'wash', 'often', 'protect', 'around', 'u']"
1217,"['want', 'stay', 'around', 'rest', 'chercrewfamily', 'youre', 'like', 'big', 'sister', 'worry', 'lot', 'lately', 'cher', 'please', 'please', 'promise', 'sray', 'safe', 'wear', 'mask', 'glove', 'time', 'im', 'promising', 'cher']"
1218,"['many', 'arent', 'wearing', 'mask', 'remain', 'close', 'proximity', 'arrest', 'fine']"
1219,"['would', 'rather', 'wear', 'mask', 'ventilator', 'day']"
1220,"['soft', 'cotton', 'trump', 'called', 'wife', 'ugly', 'ted', 'wa', 'intimidated', 'ron', 'perlman', 'volunteered', 'jim', 'jordan', 'fight', 'ted', 'trying', 'look', 'rugged', 'ostrich', 'boot', 'although', 'doesnt', 'make', 'crowd', 'wear', 'mask', 'foot', 'away']"
1221,"['heard', 'scanner', 'opp', 'attending', 'walmart', 'dufferin', 'county', 'complaint', 'crowding', 'people', 'wearing', 'mask', 'numerous', 'vehicle', 'area', 'observed']"
1222,"['one', 'wearing', 'mask', 'even', 'social', 'distancing', 'guess', 'week', 'casualty', 'covid']"
1223,"['knew', 'bd', 'wave', 'wa', 'going', 'happenwhy', 'step', 'taken', 'prep', 'health', 'careheavens', 'saw', 'facility', 'built', 'covid', 'matter', 'day', 'elsewhere', 'respirator', 'amp', 'med', 'minimize', 'severity', 'lockdown', 'handwashingmasks', 'amp', 'distancing', 'work']"
1224,"['bullshit', 'ocean', 'nothing', 'wrong', 'police', 'treated', 'absolutely', 'respect', 'female', 'cop', 'ocean', 'boy', 'wearing', 'mask', 'absolute', 'bullshit', 'need', 'apologize']"
1225,"['wearing', 'mask']"
1226,"['five', 'minute', 'clip', 'going', 'yt', 'many', 'arent', 'wearing', 'mask', 'many', 'child', 'hell', 'doublethink', 'going', 'head', 'wearing', 'mask', 'dont', 'want', 'know', 'could', 'save', 'life', 'anyway', 'national', 'right', 'infect']"
1227,"['people', 'singing', 'speaking', 'wear', 'mask', 'people', 'sitting', 'quietly', 'speaking', 'seems', 'logical']"
1228,"['went', 'bluewater', 'gone', 'yesterday', 'left', 'within', 'minute', 'much', 'depressing', 'really', 'surprise', 'situation', 'amount', 'chin', 'warmer', 'im', 'slowly', 'sipping', 'drink', 'avoid', 'wearing', 'mask']"
1229,"['also', 'hasnt', 'worn', 'mask', 'dont', 'believe', 'everything', 'read', 'country', 'brainwashed', 'covid', 'deadly', 'everyone', 'going', 'catch', 'pas']"
1230,"['cher', 'take', 'care', 'wearing', 'mask', 'glove', 'time', 'promise', 'wearing', 'mask', 'glove', 'time', 'cher', 'cher', 'promise', 'wear', 'mask', 'glove', 'time', 'love', 'si']"
1231,"['dont', 'want', 'wear', 'mask', 'think', 'hoax', 'please', 'read', 'comment', 'please', 'read', 'front', 'line', 'worker', 'world', 'going', 'risk', 'putting', 'family', 'loved', 'one', 'thankyou']"
1232,"['british', 'columbia', 'pay', 'fine', 'insist', 'wearing', 'mask', 'told', 'leave', 'establishment', 'entered', 'without', 'wearing', 'one', 'work', 'u']"
1233,"['personally', 'ive', 'none', 'thing', 'secondly', 'australia', 'including', 'gold', 'standard', 'state', 'wa', 'really', 'serious', 'wed', 'wearing', 'mask', 'opinion']"
1234,"['wa', 'wearing', 'mask', 'contracted', 'covid', 'effective', 'quit', 'trying', 'put', 'others', 'judgemental', 'mode']"
1235,"['british', 'columbia', 'pay', 'fine', 'insist', 'wearing', 'mask', 'told', 'leave', 'establishment', 'entered', 'without', 'wearing', 'one', 'work', 'u']"
1236,"['anyone', 'think', 'government', 'going', 'take', 'away', 'mask', 'law', 'two', 'week', 'two', 'month', 'lol', 'lucky', 'happens', 'april', 'government', 'ha', 'u', 'control', 'even', 'covid', 'go', 'away', 'nothing', 'going', 'change', 'fo6', 'month']"
1237,"['difficult', 'time', 'mask', 'wearing', 'remember', 'advice', 'new', 'york', 'city', 'department', 'store', 'almost', 'year', 'ago', 'even', 'though', 'mask', 'eye', 'let', 'people', 'know', 'smiling', 'happyholidays', 'smile']"
1238,"['necessary', 'still', 'wearing', 'better', 'mask', 'u']"
1239,"['wear', 'mask']"
1240,"['think', 'terrible', 'assumed', 'people', 'like', 'deal', 'le', 'stress', 'often', 'deal', 'amp', 'unpaid', 'caregiver', 'dad', 'hate', 'wearing', 'mask', 'amp', 'cant', 'put', 'one', 'amp', 'put', 'already', 'got', 'tb', 'hospital', 'stay', 'month', 'stop', 'making', 'excuse']"
1241,"['bet', 'people', 'refugee', 'like', 'coming', 'canada', 'people', 'online', 'complaining', 'wearing', 'mask']"
1242,"['knew', 'bd', 'wave', 'wa', 'going', 'happenwhy', 'step', 'taken', 'prep', 'health', 'careheavens', 'saw', 'facility', 'built', 'covid', 'matter', 'day', 'elsewhere', 'respirator', 'amp', 'med', 'minimize', 'severity', 'lockdown', 'handwashingmasks', 'amp', 'distancing', 'work']"
1243,"['mask', 'dont', 'work', 'even', 'best', 'surgical', 'mask', 'block', 'covid']"
1244,"['billgood', 'deficit', 'bill', 'good', 'give', 'trudeau', 'high', 'mark', 'handling', 'covid', 'threw', 'everything', 'moved', 'hid', 'million', 'dollar', 'tax', 'supported', 'cabin', 'questioned', 'scandal', 'gave', 'free', 'mask', 'china', 'lied', 'covid', 'still', 'ha', 'michael']"
1245,"['might', 'remember', 'brought', 'bill', 'lockdown', 'mask', 'pm', 'cared', 'wear', 'damn', 'mask']"
1246,"['much', 'ticket', 'wa', 'wearing', 'mask', 'yesterday', 'protest', 'montreal', 'news', 'montreal']"
1247,"['minister', 'police', 'beki', 'cele', 'wa', 'spotted', 'galeshewe', 'pick', 'n', 'pay', 'making', 'observation', 'talking', 'people', 'safety', 'importance', 'wearing', 'mask', 'ourvoice', 'kimberley', 'yourinformationpartner']"
1248,"['wear', 'mask', 'wash', 'hand', 'social', 'distance', 'another', 'long', 'ride']"
1249,"['much', 'ticket', 'wa', 'wearing', 'mask', 'yesterday', 'protest', 'montreal', 'news', 'montreal']"
1250,"['brad', 'hazzard', 'gomaking', 'mask', 'wearing', 'mandatory', 'brainer', 'ha', 'totally', 'escaped', 'incompetent', 'health', 'minister', 'pathetic', 'ha', 'learnt', 'thing', 'experience', 'others', 'question', 'making', 'mask', 'mandatory', 'bus', 'driver', 'excuse', 'laughable']"
1251,"['hang', 'wear', 'mask', 'protect', 'refuse', 'follow', 'medical', 'expert', 'better', 'day', 'r', 'coming']"
1252,"['much', 'ticket', 'wa', 'wearing', 'mask', 'yesterday', 'protest', 'montreal', 'news', 'montreal']"
1253,"['might', 'remember', 'brought', 'bill', 'lockdown', 'mask', 'pm', 'cared', 'wear', 'damn', 'mask']"
1254,"['billgood', 'deficit', 'bill', 'good', 'give', 'trudeau', 'high', 'mark', 'handling', 'covid', 'threw', 'everything', 'moved', 'hid', 'million', 'dollar', 'tax', 'supported', 'cabin', 'questioned', 'scandal', 'gave', 'free', 'mask', 'china', 'lied', 'covid', 'still', 'ha', 'michael']"
1255,"['wearing', 'mask', 'wal', 'mart']"
1256,"['pretty', 'clear', 'nsw', 'need', 'take', 'stronger', 'action', 'latest', 'covid', '19', 'outbreak', 'incl', 'mandated', 'mask', 'wearing', 'available', 'abc', 'listen', 'app']"
1257,"['wearing', 'mask', 'wal', 'mart']"
1258,"['wear', 'mask', 'pray']"
1259,"['repubs', 'aggressive', 'wearing', 'mask', 'due', 'governement', 'control', 'ok', 'tracking', 'every', 'move']"
1260,"['lrt', 'wear', 'fucking', 'mask', 'stay', 'fuck', 'home']"
1261,"['please', 'wear', 'fucking', 'mask']"
1262,"['suck', 'going', 'back', 'lock', 'fucking', 'wear', 'mask', 'unless', 'really', 'enjoy', 'way', 'living', 'today', 'fucking', 'moron', 'believe', 'hoax', 'wont', 'die', 'well', 'guess', 'killing', 'people', 'many', 'maskless', 'people', 'asymptomatic', 'stayhome']"
1263,"['doe', 'say', 'lot', 'say', 'idiot', 'family', 'go', 'around', 'without', 'mask', 'spreading', 'covid', 'think', 'ok', 'dont', 'wish', 'harm', 'wonder', 'attitude', 'would', 'dad', 'intubated', 'icu', 'due', 'covid', 'dead']"
1264,"['many', 'super', 'spreader', 'rally', 'attend', 'many', 'time', 'tell', 'people', 'listen', 'amp', 'wear', 'mask', 'amp', 'social', 'distancedid', 'call', 'trump', 'lying', 'virus', 'since', 'february', 'gophypocrisy', 'gopcowards', 'youre', 'essential']"
1265,"['pretty', 'sure', 'im', 'going', 'wear', 'lipgloss', 'every', 'day', 'winter', 'break', 'wear', 'mask', 'day', 'teach', 'covid', '19bc']"
1266,"['around', 'dont', 'wear', 'mask', 'public', 'place', 'dont', 'want', 'pay', 'wear', 'mask']"
1267,"['sadly', 'yes', 'human', 'disgrace', 'worst', 'thing', 'couldnt', 'pick', 'discarded', 'mask', 'glove', 'wipe', 'might', 'contaminated', 'really', 'dont', 'want', 'get', 'sick', 'pre', 'covid', 'id', 'carry', 'bag', 'pick', 'rubbish', 'march', 'onward', 'id', 'need', 'squadron', 'truck']"
1268,"['posted', 'yesterday', 'st', 'persona', 'also', 'wear', 'mask', 'kid', 'stdecember', 'decemberst']"
1269,"['wear', 'mask']"
1270,"['watch', 'tv', 'show', 'wonder', 'arent', 'wearing', 'mask']"
1271,"['sadly', 'yes', 'human', 'disgrace', 'worst', 'thing', 'couldnt', 'pick', 'discarded', 'mask', 'glove', 'wipe', 'might', 'contaminated', 'really', 'dont', 'want', 'get', 'sick', 'pre', 'covid', 'id', 'carry', 'bag', 'pick', 'rubbish', 'march', 'onward', 'id', 'need', 'squadron', 'truck']"
1272,"['wearing', 'mask', 'unless', 'private', 'establishment', 'make', 'b', 'science']"
1273,"['wearing', 'mask', 'stink', 'stank', 'stunk', 'grinch', 'one', 'fun', 'halifax', 'lovemycity', 'grinch', 'wearamask', 'stinkstankstunk', 'gianttiger', 'christmasgifttomyself', 'naughtyornice', 'uptosnowgood']"
1274,"['covidiots', 'em', 'least', 'wear', 'mask']"
1275,"['wearing', 'mask', 'law', 'youre', 'whining']"
1276,"['see', 'people', 'dont', 'even', 'want', 'wear', 'mask', 'flight']"
1277,"['eastern', 'state', 'flight', 'must', 'landed', 'perth', 'airport', 'full', 'civilian', 'wearing', 'mask', 'dont', 'see', 'often']"
1278,"['wearing', 'mask', 'law', 'youre', 'whining']"
1279,"['latest', 'video', 'style', 'face', 'mask', 'wearing', 'christmas', 'follow']"
1280,"['lol', 'wrong', 'mask', 'also', 'tryna', 'blame', 'one', 'group', 'people', 'spread', 'covid', 'reason']"
1281,"['see', 'people', 'dont', 'even', 'want', 'wear', 'mask', 'flight']"
1282,"['ifiot', 'backing', 'labour', 'ard', 'twat', 'could', 'thi', 'k', 'worse', 'name', 'idiot', 'gping', 'right', 'thing', 'people', 'whats', 'needed', 'group', 'people', 'wearing', 'mask', 'social', 'distancing']"
1283,"['okay', 'airport', 'people', 'get', 'dont', 'want', 'wear', 'mask', 'right', 'looking', 'reason', 'keep', 'border', 'shut', 'giving', 'many', 'perhaps', 'right', 'wear', 'mask', 'rest', 'u', 'humor', 'u']"
1284,"['snowman', 'wear', 'mask', 'everyone', 'wear', 'one', 'protect', 'people', 'wearamask', 'austin', 'height', 'coquitlam', 'british', 'columbia']"
1285,"['snowman', 'wear', 'mask', 'everyone', 'wear', 'one', 'protect', 'people', 'wearamask', 'austin', 'height', 'coquitlam', 'british', 'columbia']"
1286,"['im', 'terribly', 'sorry', 'loss', 'brother', 'vancouver', 'mask', 'mandatory', 'wear', 'mine', 'evey', 'time', 'step', 'outside', 'apartment', 'even', 'lobby', 'youre', 'required', 'wear', 'one', 'party', 'fined', 'dollar', 'theyre', 'strict']"
1287,"['posted', 'yesterday', 'st', 'persona', 'also', 'wear', 'mask', 'kid', 'stdecember', 'decemberst']"
1288,"['around', 'dont', 'wear', 'mask', 'public', 'place', 'dont', 'want', 'pay', 'wear', 'mask']"
1289,"['covidiots', 'em', 'least', 'wear', 'mask']"
1290,"['im', 'terribly', 'sorry', 'loss', 'brother', 'vancouver', 'mask', 'mandatory', 'wear', 'mine', 'evey', 'time', 'step', 'outside', 'apartment', 'even', 'lobby', 'youre', 'required', 'wear', 'one', 'party', 'fined', 'dollar', 'theyre', 'strict']"
1291,"['employee', 'went', 'beyond', 'call', 'police', 'grown', 'man', 'removed', 'leave', 'let', 'get', 'hit', 'cart', 'truly', 'mask', 'wearing', 'doesnt', 'special', 'need']"
1292,"['wear', 'mask']"
1293,"['covid', '19', 'onpoli', 'lockdownontario', 'person', 'exception', 'wearing', 'mask', 'government', 'person', 'ok', 'government']"
1294,"['wonder', 'cant', 'get', 'virus', 'control', 'isnt', 'everyone', 'wearing', 'mask', 'people', 'stay', 'home']"
1295,"['posted', 'yesterday', 'st', 'persona', 'also', 'wear', 'mask', 'kid', 'stdecember', 'decemberst']"
1296,"['around', 'dont', 'wear', 'mask', 'public', 'place', 'dont', 'want', 'pay', 'wear', 'mask']"
1297,"['covidiots', 'em', 'least', 'wear', 'mask']"
1298,"['shopping', 'crazy', 'since', 'everyone', 'wearing', 'mask', 'somebody', 'look', 'youit', 'look', 'like', 'theyre', 'giving', 'death', 'stare', 'since', 'see', 'rest', 'facial', 'expression', 'lol']"
1299,"['see', 'people', 'dont', 'even', 'want', 'wear', 'mask', 'flight']"
1300,"['bob', 'bradley', 'good', 'wear', 'mask']"
1301,"['wish', 'could', 'wear', 'protea', 'face', 'mask', 'wed', 'like', 'able', 'see', 'though', 'flower', 'floristlife', 'florist', 'surreybc', 'shoplocal', 'la', 'belle', 'fleur', 'floral', 'boutique']"
1302,"['dont', 'think', 'cause', 'serious', 'side', 'effect', 'human', 'supposed', 'breath', 'fresh', 'air', 'body', 'arent', 'tune', 'mask', 'wearing', 'stop', 'take', 'mask', 'frequently', 'throughout', 'day']"
1303,"['guy', 'according', 'man', 'downtown', 'vaccine', 'seh', 'nuh', 'fi', 'wear', 'mask', 'saved', 'praise']"
1304,"['dont', 'get', 'paid', 'enough', 'deal', 'people', 'yelling', 'asking', 'wear', 'mask']"
1305,"['today', 'wa', 'one', 'satisfying', 'day', 'job', 'committed', 'effective', 'crew', 'pulled', 'quality', 'work', 'little', 'time', 'standard', 'deadline', 'prop', 'amp', 'amp', 'charming', 'tanya', 'b', 'wear', 'mask', 'day', 'show']"
1306,"['go', 'ahead', 'dont', 'wear', 'mask', 'get', 'closer', 'ppl', 'attitude', 'covid', 'take', 'lot', 'rather', 'make', 'u', 'suffer', 'one', 'minute', 'longer']"
1307,"['amazing', 'upset', 'others', 'get', 'simply', 'wearing', 'mask', 'imagine', 'channeling', 'energy', 'good']"
1308,"['maskwearing', 'vibe', 'saliva', 'covid']"
1309,"['today', 'independent', 'living', 'facility', 'parent', 'live', 'ha', 'decided', 'follow', 'strong', 'recommendation', 'resident', 'wear', 'mask', 'common', 'area', 'relieved', 'best', 'christmas', 'present', 'knowing', 'safer']"
1310,"['sure', 'jack', 'ha', 'color', 'option', 'white', 'offwhite', 'work', 'ill', 'make', 'sure', 'wear', 'mask', 'pickup']"
1311,"['amazing', 'upset', 'others', 'get', 'simply', 'wearing', 'mask', 'imagine', 'channeling', 'energy', 'good']"
1312,"['cant', 'make', 'stuff', 'omg', 'man', 'wearing', 'woman', 'black', 'lace', 'panty', 'mask', 'came', 'sister', 'lingerie', 'store', 'buy', 'stuff', 'luckily', 'could', 'keep', 'straight', 'face', 'proper', 'mask', 'bc', 'doubt']"
1313,"['ignorance', 'wear', 'mask', 'protect', 'vulnerable', 'idiot']"
1314,"['remember', 'first', 'wa', 'terrified', 'id', 'catch', 'covid', 'medication', 'im', 'rheumatoid', 'arthritis', 'immune', 'system', 'shot', 'wore', 'mask', 'sanitized', 'hand', 'constantly', 'lasted', 'till', 'wa', 'obvious', 'going', 'able', 'beat']"
1315,"['witness', 'wearing', 'mask', 'whats', 'problem']"
1316,"['addition', 'saving', 'life', 'mask', 'serve', 'many', 'benefit', 'eg', 'wear', 'mask', 'immediately', 'eating', 'donair', 'youll', 'able', 'enjoy', 'eau', 'de', 'donair', 'hour', 'end']"
1317,"['ever', 'heard', 'greater', 'good', 'although', 'condoning', 'inability', 'represent', 'capacity', 'tired', 'entitlement', 'people', 'dying', 'stay', 'home', 'wear', 'mask', 'thats', 'thats', 'tweet', 'firelecce']"
1318,"['people', 'stupid', 'least', 'many', 'wearing', 'mask', 'infected', 'amp', 'getting', 'infected', 'behaving', 'like', 'theyll', 'going', 'nowhere', 'good', 'hear', 'hmg', 'ha', 'procured', 'local', 'hotel', 'capacity', 'place', 'driver', 'isolate']"
1319,"['driver', 'letting', 'non', 'mask', 'wearing', 'individual', 'bus', 'ok', 'one', 'selfish', 'person', 'endanger', 'bus', 'load', 'people', 'ok', 'cough', 'everyone', 'isnt', 'joke', 'enforce', 'order', 'keep', 'rider', 'safe']"
1320,"['amazing', 'upset', 'others', 'get', 'simply', 'wearing', 'mask', 'imagine', 'channeling', 'energy', 'good']"
1321,"['wearing', 'mask', 'every', 'day', 'day', 'work', 'going', 'make', 'weird', 'hell', 'dont', 'anymore', 'supposed', 'recognize', 'anyone', 'seeing', 'people', 'whole', 'face', 'weird', 'real']"
1322,"['today', 'wa', 'one', 'satisfying', 'day', 'job', 'committed', 'effective', 'crew', 'pulled', 'quality', 'work', 'little', 'time', 'standard', 'deadline', 'prop', 'amp', 'amp', 'charming', 'tanya', 'b', 'wear', 'mask', 'day', 'show']"
1323,"['today', 'wa', 'one', 'satisfying', 'day', 'job', 'committed', 'effective', 'crew', 'pulled', 'quality', 'work', 'little', 'time', 'standard', 'deadline', 'prop', 'amp', 'amp', 'charming', 'tanya', 'b', 'wear', 'mask', 'day', 'show']"
1324,"['go', 'ahead', 'dont', 'wear', 'mask', 'get', 'closer', 'ppl', 'attitude', 'covid', 'take', 'lot', 'rather', 'make', 'u', 'suffer', 'one', 'minute', 'longer']"
1325,"['guest', 'something', 'could', 'wear', 'throw', 'car', 'wear', 'left', 'regular', 'mask', 'dont', 'want', 'brand', 'much', 'something', 'nicer', 'party']"
1326,"['holiday', 'light', 'enjoying', 'greenfield', 'village', 'even', 'wear', 'mask', 'greenfield', 'village', 'holiday', 'night']"
1327,"['painful', 'watching', 'commercial', 'folk', 'wearing', 'mask', 'amp', 'compliant', 'sheep', 'subliminal', 'message', 'brutal', 'make', 'reconsider', 'business', 'know', 'avoid', 'tv', 'cost', 'andyaelder']"
1328,"['mean', 'wear', 'mask', 'everytime', 'walk', 'doorframe']"
1329,"['especially', 'dont', 'keep', 'apart', 'wear', 'mask', 'horrifying', 'kill', 'someone']"
1330,"['cant', 'make', 'stuff', 'omg', 'man', 'wearing', 'woman', 'black', 'lace', 'panty', 'mask', 'came', 'sister', 'lingerie', 'store', 'buy', 'stuff', 'luckily', 'could', 'keep', 'straight', 'face', 'proper', 'mask', 'bc', 'doubt']"
