,tweet
35,"['let', 'part', 'solution', 'wear', 'mask', 'maintain', 'social', 'distancing']"
36,"['massage', 'therapist', 'message', 'wear', 'mask', 'appointment', 'remind', 'wearing', 'mask', 'massage', 'wa', 'cool', 'deadpool', 'healthytouchmassageclinic', 'jesscagrah', 'nerdlife']"
37,"['designated', 'survivor', 'ivanka', 'one', 'wearing', 'mask']"
38,"['little', 'mask', 'covid', 'one', 'gaz', 'blacklivesmattter']"
39,"['france', 'mask', 'mandatory', 'public', 'transport', 'however', 'shop', 'etc', 'see', 'prob', 'people', 'wearing', 'people', 'see', 'protection', 'embraced', 'show', 'good', 'citizenship', 'available', 'supermarket']"
40,"['yes', 'almost', 'normal', 'registration', 'fill', 'every', 'morning', 'go', 'building', 'stay', 'inside', 'pm', 'also', 'trying', 'keep', 'distancing', 'many', 'lab', 'wear', 'mask', 'working', 'far']"
41,"['wear', 'scary', 'kn', 'youre', 'wearing', 'surgical', 'mask', 'properly', 'come', 'filtered', 'whats', 'coming', 'suck', 'valve']"
42,"['first', 'time', 'playing', 'offline', 'month', 'weird', 'wear', 'mask', 'playing', 'lol']"
43,"['fine', 'support', 'causebut', 'dont', 'kill', 'self', 'otherswear', 'mask']"
44,"['wear', 'mask', 'live', 'canada', 'might', 'story', 'facist', 'dicklessrapist', 'trump', 'maga']"
45,"['wear', 'mask', 'least', 'could', 'cause', 'massive', 'spike']"
46,"['ok', 'people', 'science', 'show', 'need', 'wear', 'mask', 'cant', 'physically', 'distant', 'might', 'well', 'stylish', 'mask', 'soft', 'cool', 'comfortable', 'proceeds', 'support', 'covid', '19']"
47,"['arent', 'people', 'wearing', 'mask', 'tulsa', 'safe', 'people', 'take', 'care', 'outdoor', 'rally', 'president']"
48,"['strange', 'see', 'msnbc', 'reporter', 'wearing', 'mask', 'tulsa', 'standing', 'nectar', 'mag', 'supporter', 'msnbc']"
49,"['book', 'u', 'everybody', 'wear', 'mask']"
50,"['precisely', 'wearing', 'mask', 'could', 'increase', 'viral', 'load', 'dangerous']"
51,"['big', 'time', 'im', 'waiting', 'see', 'equipment', 'needed', 'season', 'covid', 'related', 'equipment']"
52,"['people', 'lyon', 'take', 'public', 'transportation', 'wear', 'freakin', 'mask', 'think', 'others', 'shouldnt', 'allowed', 'one', 'ready', 'pay', 'heavy', 'fine', 'tcl']"
53,"['id', 'like', 'take', 'moment', 'thank', 'everyone', 'clinging', 'liberty', 'health', 'everyone', 'else', 'refuse', 'stay', 'home', 'refuse', 'wear', 'mask', 'sake', 'freedom', 'type', 'true', 'patriotism', 'ha', 'helped', 'make', 'america', 'pandemic']"
54,"['wa', 'shopping', 'yesterday', 'full', 'grocery', 'store', 'saw', 'maybe', 'people', 'mad', 'wearing', 'mask', 'dont', 'get', 'dont', 'like', 'mask', 'want', 'take', 'chance', 'wearing', 'ventilator', 'muskoka', 'parrysound']"
55,"['best', 'thing', 'wearing', 'mask', 'one', 'see', 'cussing', 'rest', 'stupid', 'motherfucker', 'celebrating', 'liberty', 'freedom', 'wearing', 'one']"
56,"['translation', 'one', 'mask', 'put', 'face', 'covering', 'nose', 'mouth', 'securely', 'dont', 'modify', 'help', 'breathe', 'better', 'wear', 'house', 'every', 'day', 'needed', 'get', 'one', 'per', 'year', 'dont', 'lose']"
57,"['copd', 'doesnt', 'prohibit', 'people', 'wearing', 'mask']"
58,"['store', 'policy', 'simple', 'ask', 'like', 'shes', 'required', 'wear', 'n', 'mask', 'day', 'long', 'order', 'butcher', 'right', 'pick', 'order', 'pre', 'done', 'make', 'list', 'grocery', 'simple', 'really']"
59,"['wear', 'fucking', 'mask', 'one', 'asking', 'goddamn', 'sleep', 'youre', 'going', 'public', 'wear', 'fucking', 'mask']"
60,"['convo', 'mom', 'wear', 'mask', 'around', 'cannot', 'hug', 'mom', 'allowed', 'gather', 'ppl', 'im', 'driving', 'quebec', 'city', 'doesnt', 'mean', 'eat', 'kfc', 'skin', 'absolutely']"
61,"['totally', 'agree', 'wear', 'mask', 'save', 'life']"
62,"['wear', 'mask', 'guy', 'youre', 'stupid']"
63,"['finally', 'made', 'big', 'time', 'yellow', 'shirt', 'orange', 'hat', 'dead', 'center', 'pic', 'good', 'reminder', 'good', 'day', 'dunk', 'wa', 'highlight', 'game', 'cant', 'get', 'back', 'cleveland', 'soon', 'enough', 'please', 'wear', 'mask', 'stay', 'home', 'unless', 'necessary']"
64,"['wa', 'shopping', 'earlier', 'afternoon', 'taggs', 'amp', 'mctaggarts', 'required', 'customer', 'wear', 'mask', 'amp', 'sanitize', 'hand', 'entering', 'business', 'didnt', 'get', 'nothing', 'daughter', 'amp']"
65,"['argue', 'thats', 'barely', 'come', 'car', 'im', 'even', 'wearing', 'face', 'mask', 'father', 'sun', 'holy', 'ghost', 'face', 'highness']"
66,"['youre', 'thinking', 'best', 'way', 'celebrate', 'july', 'th', 'social', 'distance', 'wear', 'mask', 'public', 'keep', 'humanity', 'alive']"
67,"['amount', 'cringe', 'everyone', 'membertou', 'standing', 'around', 'line', 'socially', 'distancing', 'downtown', 'sydney', 'wa', 'crowded', 'one', 'wa', 'wearing', 'mask', 'excuse', 'keep', 'avoiding', 'nonessential', 'travel', 'stay', 'home']"
68,"['found', 'back', 'lake', 'louise', 'joined', 'mask', 'wearing', 'squad']"
69,"['low', 'key', 'sketched', 'fact', 'im', 'person', 'wearing', 'mask']"
70,"['digby', 'n', 'seen', 'one', 'person', 'wearing', 'mask', 'feel', 'like', 'oddball', 'always', 'wear', 'one', 'going', 'store']"
71,"['group', 'rail', 'woman', 'right', 'choose', 'hell', 'break', 'loose', 'asked', 'government', 'wear', 'mask']"
72,"['got', 'people', 'wear', 'mask']"
73,"['pharmacy', 'yesterday', 'saw', 'two', 'older', 'guy', 'wearing', 'mask', 'shaking', 'hand', 'wtf']"
74,"['goaltender', 'wearing', 'mask', 'make', 'foolish']"
75,"['healthy', 'head', 'go', 'quickly', 'risk', 'smart', 'wear', 'mask']"
76,"['dirt', 'rally', 'steam', 'team', 'give', 'guidance', 'pas', 'difficult', 'turn', 'safely', 'waitturns', 'curvesthats', 'like', 'following', 'guidance', 'wear', 'mask', 'flattenthecurve', 'covid', '19', 'infection']"
77,"['mask', 'mask', 'really', 'tough', 'decision', 'covid', '__19']"
78,"['wearing', 'mask', 'work', 'today', 'trying', 'keep', 'everyone', 'safe', 'healthy', 'maskiemonday']"
79,"['wear', 'mask']"
80,"['wear', 'mask']"
81,"['spent', 'hour', 'airport', 'flight', 'wearing', 'mask', 'deserted', 'airplane', 'airport', 'calgary', 'toronto', 'quebec', 'city', 'defund', 'cbc']"
82,"['dude', 'shutup', 'wear', 'freaking', 'mask']"
83,"['quote', 'day', 'cant', 'wear', 'mask', 'dont', 'see', 'one', 'jesus', 'made', 'laugh', 'shake', 'head', 'idiot', 'doesnt', 'beleive', 'thanks', 'made', 'night']"
